buildYear,contractTerm,contractType,dealDay,dealMonth,dealYear,deposit,excluUseAr,floor,jibun,monthlyRent,offiNm,preDeposit,preMonthlyRent,sggCd,sggNm,umdNm,useRRRight,매물유형
2023,,,13,1,2024,"21,000",19.33,5,66-60,0,휴스턴오피스텔 창경궁,,,11110,종로구,원남동,,오피스텔
2021,26.01~27.12,갱신,5,1,2024,"3,566",25.06,14,231,26,대보 마로니에시티,66,47,11110,종로구,연지동,,오피스텔
2023,24.01~26.01,신규,25,1,2024,"15,900",21.19,3,1419-2,0,에비뉴 청계 Ⅰ,,,11110,종로구,숭인동,,오피스텔
2004,24.02~26.02,신규,27,1,2024,"1,000",42.39,4,75,110,용비어천가,,,11110,종로구,내수동,,오피스텔
2001,24.03~26.02,신규,13,1,2024,"1,000",25.04,9,206,60,대보마로니에텔,,,11110,종로구,연건동,,오피스텔
2015,24.02~25.02,신규,19,1,2024,"1,000",14.28,2,27,50,(27),,,11110,종로구,연지동,,오피스텔
2013,23.12~24.12,갱신,31,1,2024,"9,300",19.95,2,1421-1,5,종로 동광모닝스카이,"9,300",5,11110,종로구,숭인동,,오피스텔
2022,24.02~25.02,신규,27,1,2024,"27,700",25.34,7,317-58,0,동대문 아이리스,,,11110,종로구,숭인동,,오피스텔
2003,24.01~25.01,신규,18,1,2024,"2,000",22.72,8,45,61,반도 보라 아이비 타워,,,11110,종로구,효제동,,오피스텔
2003,24.02~26.02,갱신,9,1,2024,"16,500",21.01,5,95,0,코윈 팔레스뷰 오피스텔,"12,500",20,11110,종로구,원남동,,오피스텔
2004,,,23,1,2024,"5,000",66.47,10,11-1,165,KCC 파크타운,,,11140,중구,만리동2가,,오피스텔
2004,,,18,1,2024,"52,000",66.47,5,11-1,0,KCC 파크타운,,,11140,중구,만리동2가,,오피스텔
2019,24.01~26.01,신규,13,1,2024,"2,000",35.22,3,48,130,동원스위트을지,,,11140,중구,을지로6가,,오피스텔
2023,24.01~26.01,신규,5,1,2024,"19,000",18.36,19,363,0,쌍용 더 플래티넘 서울역,,,11140,중구,중림동,,오피스텔
2014,24.01~25.01,신규,22,1,2024,"1,000",19.92,2,119,70,동대문 와이즈 캐슬,,,11140,중구,흥인동,,오피스텔
2021,24.02~26.02,신규,8,1,2024,"3,000",20.34,3,372-49,75,(372-49),,,11140,중구,신당동,,오피스텔
2021,24.01~25.01,신규,15,1,2024,"1,000",21.72,10,1257,77,한양립스 이노와이즈,,,11140,중구,황학동,,오피스텔
2005,24.01~25.01,신규,10,1,2024,"1,000",27.7,6,62-7,85,서울역 디오빌,,,11140,중구,만리동1가,,오피스텔
2015,24.02~26.02,신규,9,1,2024,500,17.71,2,1725,50,골드캐슬Ⅰ,,,11140,중구,황학동,,오피스텔
2014,24.02~26.02,신규,8,1,2024,"14,900",21.31,11,160-5,20,신당아르브,,,11140,중구,신당동,,오피스텔
2015,24.02~25.02,신규,15,1,2024,"1,000",29.61,26,56,145,트윈시티 남산,,,11170,용산구,동자동,,오피스텔
2012,24.02~25.02,신규,24,1,2024,"3,000",49.85,16,419,220,아스테리움 용산,,,11170,용산구,한강로2가,,오피스텔
2024,25.02~27.01,신규,24,1,2024,"5,000",20.88,9,10,125,파크스타,,,11170,용산구,원효로2가,,오피스텔
2023,25.02~27.02,신규,21,1,2024,"50,000",37.93,3,46-5,0,용산투웨니퍼스트99,,,11170,용산구,원효로1가,,오피스텔
