region_name,전세_평균보증금,전세_평균면적,전세_거래건수,월세_평균보증금,월세_평균월세,월세_평균면적,월세_거래건수,전체_거래건수
경기도 가평군,0.0,0.0,0.0,1000.0,40.0,42.31,1.0,1.0
경기도 고양시 덕양구,31000.0,59.1525,4.0,3166.6666666666665,80.16666666666667,35.76166666666666,6.0,10.0
경기도 고양시 일산동구,26066.6,56.662,5.0,1500.0,91.8,46.958,5.0,10.0
경기도 고양시 일산서구,29316.666666666668,64.515,6.0,7750.0,51.25,47.400000000000006,4.0,10.0
경기도 과천시,55166.666666666664,79.01333333333334,3.0,7857.142857142857,106.0,34.401428571428575,7.0,10.0
경기도 광명시,16821.428571428572,33.39857142857143,7.0,833.3333333333334,63.666666666666664,24.593333333333334,3.0,10.0
경기도 광주시,0.0,0.0,0.0,1500.0,76.0,46.688,5.0,5.0
경기도 구리시,15125.0,32.2175,4.0,757.6666666666666,49.166666666666664,24.919999999999998,6.0,10.0
경기도 군포시,19794.0,34.684000000000005,5.0,2300.0,54.6,32.67,5.0,10.0
경기도 김포시,15400.0,32.504999999999995,2.0,512.5,47.875,25.79375,8.0,10.0
경기도 남양주시,28700.0,53.04,5.0,1700.0,65.2,29.188,5.0,10.0
경기도 동두천시,9333.333333333334,67.29333333333334,3.0,928.5714285714286,46.714285714285715,44.63428571428572,7.0,10.0
경기도 부천시 소사구,20560.0,46.232,5.0,1140.0,64.2,37.316,5.0,10.0
경기도 부천시 오정구,22771.428571428572,59.41285714285714,7.0,0.0,0.0,0.0,0.0,7.0
경기도 부천시 원미구,13250.0,43.55,2.0,1687.5,45.875,30.265,8.0,10.0
경기도 성남시 분당구,22740.0,25.714,5.0,3600.0,90.8,40.169999999999995,5.0,10.0
경기도 성남시 수정구,31185.0,47.277499999999996,4.0,1666.6666666666667,93.83333333333333,29.01,6.0,10.0
경기도 성남시 중원구,15616.666666666666,27.833333333333332,3.0,1618.5714285714287,58.142857142857146,23.18142857142857,7.0,10.0
경기도 수원시 권선구,22000.0,71.27,1.0,1222.2222222222222,60.22222222222222,38.71222222222222,9.0,10.0
경기도 수원시 영통구,35904.28571428572,61.228571428571435,7.0,1000.0,95.0,32.06666666666667,3.0,10.0
경기도 수원시 장안구,31333.333333333332,84.65,6.0,9500.0,76.25,70.7775,4.0,10.0
경기도 수원시 팔달구,15250.0,52.725,2.0,1375.0,51.5,29.80875,8.0,10.0
경기도 시흥시,13766.666666666666,28.72,3.0,842.8571428571429,45.857142857142854,25.865714285714287,7.0,10.0
경기도 안산시 단원구,0.0,0.0,0.0,450.0,44.1,23.065,10.0,10.0
경기도 안산시 상록구,18300.0,53.574,5.0,1200.0,54.0,35.774,5.0,10.0
경기도 안성시,2500.0,15.0,1.0,305.55555555555554,34.666666666666664,18.725555555555555,9.0,10.0
경기도 안양시 동안구,30040.4,58.848,5.0,3600.0,77.8,46.704,5.0,10.0
경기도 안양시 만안구,16750.0,32.519999999999996,4.0,3250.0,54.5,26.853333333333335,6.0,10.0
경기도 양주시,11833.333333333334,28.51,3.0,100.0,66.0,18.61,1.0,4.0
경기도 양평군,13000.0,76.59,1.0,753.3333333333334,58.44444444444444,54.47222222222222,9.0,10.0
경기도 여주시,0.0,0.0,0.0,750.0,75.0,66.815,2.0,2.0
경기도 오산시,15125.0,40.075,4.0,916.6666666666666,49.0,21.25,6.0,10.0
경기도 용인시 기흥구,28333.333333333332,76.10333333333334,3.0,2542.8571428571427,68.85714285714286,34.568571428571424,7.0,10.0
경기도 용인시 수지구,25000.0,51.23,1.0,1273.7777777777778,61.333333333333336,22.19666666666667,9.0,10.0
경기도 용인시 처인구,15700.0,33.82,1.0,1388.888888888889,51.44444444444444,22.112222222222222,9.0,10.0
경기도 의왕시,7200.0,22.855,2.0,1987.5,42.0,25.1225,8.0,10.0
경기도 의정부시,21900.0,71.83,1.0,991.1111111111111,57.666666666666664,40.34777777777778,9.0,10.0
경기도 이천시,11900.0,30.205000000000002,2.0,537.5,54.5,28.041249999999998,8.0,10.0
경기도 파주시,0.0,0.0,0.0,950.0,55.9,25.189,10.0,10.0
경기도 평택시,15500.0,36.6175,4.0,333.3333333333333,59.833333333333336,33.37,6.0,10.0
경기도 하남시,22450.0,43.332499999999996,4.0,1750.0,88.16666666666667,30.951666666666668,6.0,10.0
경기도 화성동탄구,19428.571428571428,45.16857142857143,7.0,666.6666666666666,55.0,20.87,3.0,10.0
경기도 화성만세구,4500.0,22.32,1.0,1533.3333333333333,55.77777777777778,39.85666666666666,9.0,10.0
경기도 화성병점구,12140.0,27.634999999999998,2.0,8461.25,37.875,35.0225,8.0,10.0
경기도 화성효행구,7720.0,39.68666666666667,3.0,400.0,39.714285714285715,23.514285714285712,7.0,10.0
