sigungu_code,region_name,school,subway,hospital,cafe,academy,department,convenience,culture,total_score
2720000000,대구광역시 남구,41,10,263,568,687,4,152,71,1796
2717000000,대구광역시 서구,32,3,230,390,359,3,150,6,1173
2611000000,부산광역시 중구,28,8,295,702,292,7,207,67,1606
2614000000,부산광역시 서구,28,6,283,627,262,6,169,57,1438
2617000000,부산광역시 동구,20,5,149,253,130,3,110,33,703
2620000000,부산광역시 영도구,12,0,45,81,58,2,38,10,246
2623000000,부산광역시 부산진구,37,9,600,828,648,10,249,45,2426
2626000000,부산광역시 동래구,42,16,409,557,867,12,201,26,2130
2629000000,부산광역시 남구,35,6,224,362,448,8,146,60,1289
2632000000,부산광역시 북구,20,6,81,144,117,7,80,11,466
2635000000,부산광역시 해운대구,30,4,283,444,724,13,147,44,1689
2638000000,부산광역시 사하구,26,6,221,262,386,8,120,5,1034
2641000000,부산광역시 금정구,28,4,175,361,523,6,90,23,1210
2644000000,부산광역시 강서구,5,5,5,43,5,2,24,2,91
2647000000,부산광역시 연제구,34,10,313,417,429,7,168,26,1404
2650000000,부산광역시 수영구,17,4,237,582,527,8,161,50,1586
2653000000,부산광역시 사상구,20,6,128,220,130,4,119,8,635
2671000000,부산광역시 기장군,8,1,67,101,102,3,49,6,337
2711000000,대구광역시 중구,33,13,670,1145,1010,6,256,115,3248
2714000000,대구광역시 동구,24,5,196,383,420,8,161,18,1215
2723000000,대구광역시 북구,27,8,242,464,495,5,145,38,1424
2726000000,대구광역시 수성구,36,7,444,580,1586,11,166,28,2858
2729000000,대구광역시 달서구,44,5,302,417,1059,11,168,11,2017
2771000000,대구광역시 달성군,4,0,11,31,39,3,15,2,105
2811000000,인천광역시 중구,26,5,80,302,91,2,87,58,651
2814000000,인천광역시 동구,42,5,177,425,199,7,177,49,1081
2817700000,인천광역시 미추홀구,31,6,301,526,410,10,277,24,1585
2818500000,인천광역시 연수구,30,7,147,245,331,10,126,14,910
2820000000,인천광역시 남동구,27,4,216,313,360,9,133,10,1072
2823700000,인천광역시 부평구,43,9,432,625,657,8,269,11,2054
2824500000,인천광역시 계양구,42,5,281,367,383,9,188,15,1290
2826000000,인천광역시 서구,13,3,43,122,101,4,67,3,356
2871000000,인천광역시 강화군,9,0,40,68,58,1,34,7,217
2872000000,인천광역시 옹진군,3,0,1,2,0,0,1,0,7
2911000000,광주광역시 동구,32,5,290,700,467,3,158,96,1751
2914000000,광주광역시 서구,24,6,265,400,392,3,143,30,1263
2915500000,광주광역시 남구,39,0,299,425,775,4,128,36,1706
2917000000,광주광역시 북구,43,0,236,472,468,7,171,23,1420
2920000000,광주광역시 광산구,13,4,71,109,120,2,53,6,378
3011000000,대전광역시 동구,19,2,120,158,186,7,67,4,563
3014000000,대전광역시 중구,47,6,248,621,423,8,182,72,1607
3017000000,대전광역시 서구,34,5,526,686,823,16,228,42,2360
3020000000,대전광역시 유성구,29,4,188,453,294,12,170,24,1174
3023000000,대전광역시 대덕구,41,0,134,363,336,7,155,14,1050
3111000000,울산광역시 중구,29,0,129,271,327,2,97,22,877
3114000000,울산광역시 남구,25,0,365,680,665,6,233,35,2009
3117000000,울산광역시 동구,17,0,86,163,236,5,84,3,594
3120000000,울산광역시 북구,13,0,29,118,176,6,54,7,403
3171000000,울산광역시 울주군,2,0,0,7,0,0,1,1,11
3611000000,세종특별자치시,13,0,53,152,339,10,35,4,606
4113000000,경기도 성남시,21,3,223,316,372,6,112,19,1072
4111700000,경기도 수원시 영통구,36,3,410,625,797,18,255,25,2169
4111000000,경기도 수원시,37,3,491,681,838,18,302,38,2408
4111100000,경기도 수원시 장안구,28,0,201,369,480,4,175,6,1263
4111300000,경기도 수원시 권선구,19,2,83,157,217,6,101,10,595
4111500000,경기도 수원시 팔달구,38,1,279,663,504,7,243,34,1769
4113100000,경기도 성남시 수정구,42,8,460,418,477,9,249,13,1676
4113300000,경기도 성남시 중원구,31,5,350,358,375,6,191,13,1329
4113500000,경기도 성남시 분당구,36,9,419,529,1203,16,158,15,2385
4115000000,경기도 의정부시,22,9,261,432,298,6,191,17,1236
4117000000,경기도 안양시,40,3,445,643,1212,15,236,11,2605
4117100000,경기도 안양시 만안구,33,5,403,521,531,12,199,19,1723
4117300000,경기도 안양시 동안구,35,3,407,608,1178,15,246,17,2509
4119000000,경기도 부천시,50,5,484,727,1115,19,269,24,2693
4121000000,경기도 광명시,36,5,363,484,627,16,228,17,1776
4122000000,경기도 평택시,30,0,127,310,464,9,121,7,1068
4145000000,경기도 하남시,18,3,149,203,223,7,88,12,703
4125000000,경기도 동두천시,18,3,83,129,103,2,83,8,429
4127000000,경기도 안산시,28,4,274,482,558,14,175,28,1563
4127100000,경기도 안산시 상록구,22,6,216,429,495,11,198,21,1398
4127300000,경기도 안산시 단원구,21,7,313,407,455,11,164,21,1399
4128000000,경기도 고양시,11,1,64,106,123,5,53,9,372
4128100000,경기도 고양시 덕양구,22,4,179,200,506,10,91,15,1027
4128500000,경기도 고양시 일산동구,29,7,326,658,897,15,174,32,2138
4128700000,경기도 고양시 일산서구,28,5,230,370,839,16,149,30,1667
4129000000,경기도 과천시,12,3,83,151,182,4,45,27,507
4131000000,경기도 구리시,24,4,253,302,528,3,125,10,1249
4136000000,경기도 남양주시,7,1,30,45,79,1,27,4,194
4137000000,경기도 오산시,23,1,145,227,266,8,138,10,818
4139000000,경기도 시흥시,18,2,82,149,276,7,66,4,604
4141000000,경기도 군포시,34,5,247,372,508,15,167,12,1360
4143000000,경기도 의왕시,13,1,53,121,114,7,59,7,375
4146000000,경기도 용인시,8,4,44,142,193,4,55,9,459
4146100000,경기도 용인시 처인구,16,4,149,238,226,6,104,7,750
4146300000,경기도 용인시 기흥구,23,4,142,205,356,11,98,10,849
4146500000,경기도 용인시 수지구,37,5,339,421,1060,21,161,12,2056
4148000000,경기도 파주시,12,2,93,153,150,5,77,8,500
4150000000,경기도 이천시,6,1,115,153,138,6,77,13,509
4155000000,경기도 안성시,11,0,90,130,127,6,64,3,431
4157000000,경기도 김포시,26,2,157,232,553,15,99,7,1091
4159000000,경기도 화성시,11,0,54,107,105,3,49,2,331
4161000000,경기도 광주시,6,0,27,85,132,1,47,4,302
4163000000,경기도 양주시,2,1,0,21,0,1,7,0,32
4165000000,경기도 포천시,6,0,36,79,36,4,39,10,210
4167000000,경기도 여주시,7,1,66,120,101,4,64,9,372
4180000000,경기도 연천군,3,1,4,15,6,1,7,6,43
4182000000,경기도 가평군,3,1,20,52,40,3,23,5,147
4183000000,경기도 양평군,6,1,58,87,91,4,41,7,295
4311100000,충청북도 청주시 상당구,29,0,175,434,337,8,120,44,1147
4311000000,충청북도 청주시,29,0,171,425,253,5,115,47,1045
4311200000,충청북도 청주시 서원구,26,0,179,466,338,6,180,48,1243
4311300000,충청북도 청주시 흥덕구,2,0,5,23,13,2,9,2,56
4311400000,충청북도 청주시 청원구,25,0,148,400,220,4,128,44,969
