sigungu_code,region_name,school,subway,hospital,cafe,academy,department,convenience,park,total_score,전세_평균보증금,전세_평균면적,전세_거래건수,월세_평균보증금,월세_평균월세,월세_평균면적,월세_거래건수,전체_거래건수
2720000000,대구광역시 남구,368,351,3781,4529,6138,1339,1401,63,17970,13650.0,56.13,2.0,662.5,48.0,34.24875,8.0,10.0
2717000000,대구광역시 서구,411,341,3954,4805,6541,1325,1560,796,19733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2611000000,부산광역시 중구,319,342,2821,3379,2883,1091,1250,638,12723,6000.0,21.14,1.0,4277.777777777777,30.0,25.474444444444444,9.0,10.0
2614000000,부산광역시 서구,294,325,2521,2996,2367,1086,1115,518,11222,0.0,0.0,0.0,3334.0,31.4,24.8,10.0,10.0
2617000000,부산광역시 동구,21,454,3600,4409,131,1123,1541,774,12053,13295.0,36.9425,4.0,2865.1666666666665,44.16666666666666,34.45666666666667,6.0,10.0
2620000000,부산광역시 영도구,141,143,1233,1592,1080,454,563,274,5480,20000.0,58.44,1.0,777.7777777777778,42.22222222222222,25.757777777777772,9.0,10.0
2623000000,부산광역시 부산진구,466,589,4510,5252,5432,2102,1777,950,21078,8000.0,21.12,1.0,2222.222222222222,41.11111111111112,27.39444444444445,9.0,10.0
2626000000,부산광역시 동래구,399,511,3872,4507,5420,1726,1435,768,18638,19250.0,52.8925,4.0,1633.3333333333333,46.66666666666666,28.426666666666662,6.0,10.0
2629000000,부산광역시 남구,387,494,3937,4788,4710,1895,1581,120,17912,12000.0,29.98,1.0,844.4444444444445,44.22222222222222,26.155555555555555,9.0,10.0
2632000000,부산광역시 북구,290,283,1873,1931,2445,662,792,628,8904,6100.0,31.126666666666665,3.0,1285.7142857142858,44.42857142857143,32.49142857142857,7.0,10.0
2635000000,부산광역시 해운대구,136,170,1168,1522,1846,857,509,287,6495,29150.0,88.62333333333333,3.0,785.7142857142857,54.85714285714285,33.87428571428571,7.0,10.0
2638000000,부산광역시 사하구,256,247,1645,2187,1989,457,848,507,8136,18666.666666666668,75.13,3.0,2257.1428571428573,25.714285714285715,23.72142857142857,7.0,10.0
2641000000,부산광역시 금정구,288,300,1955,2329,3375,292,757,436,9732,16000.0,69.15,1.0,2111.1111111111118,39.11111111111112,31.182222222222222,9.0,10.0
2644000000,부산광역시 강서구,277,186,1241,1713,2212,62,749,624,7064,16850.0,51.1575,4.0,916.6666666666666,42.5,29.706666666666667,6.0,10.0
2647000000,부산광역시 연제구,424,517,4099,4838,5452,1727,1617,814,19488,0.0,0.0,0.0,1360.0,36.4,23.562,10.0,10.0
2650000000,부산광역시 수영구,347,454,3592,4307,4871,1641,1403,731,17346,10000.0,23.32,1.0,3500.0,43.11111111111112,28.989999999999995,9.0,10.0
2653000000,부산광역시 사상구,327,411,2558,3178,2703,1100,1165,739,12181,7300.0,24.22,2.0,1425.0,39.625,21.91375,8.0,10.0
2671000000,부산광역시 기장군,82,36,281,645,579,25,230,212,2090,8500.0,43.885,2.0,587.5,40.875,26.28625,8.0,10.0
2711000000,대구광역시 중구,329,340,3482,4305,5319,1169,1323,629,16896,11580.0,41.622,5.0,1900.0,69.0,44.258,5.0,10.0
2714000000,대구광역시 동구,77,309,3122,4037,966,1147,1173,590,11421,19000.0,49.96,1.0,1638.888888888889,46.44444444444444,31.36333333333333,9.0,10.0
2723000000,대구광역시 북구,378,343,3772,4584,5901,1152,1451,735,18316,7700.0,29.91,2.0,2400.0,42.0,38.5425,8.0,10.0
2726000000,대구광역시 수성구,100,94,1066,1290,2839,107,360,114,5970,12950.0,51.595,2.0,3162.5,59.0,55.19875,8.0,10.0
2729000000,대구광역시 달서구,303,284,2800,3457,4188,771,1098,626,13527,12500.0,65.64500000000001,2.0,3350.0,59.125,55.2175,8.0,10.0
2771000000,대구광역시 달성군,76,33,300,607,819,31,251,129,2246,18000.0,84.81,1.0,2455.555555555556,44.22222222222222,35.61,9.0,10.0
2811000000,인천광역시 중구,258,167,1847,3179,2704,653,1434,949,11191,10830.0,23.336666666666662,3.0,764.2857142857143,57.57142857142857,27.678571428571427,7.0,10.0
2814000000,인천광역시 동구,21,225,2721,3797,78,678,1662,1116,10298,13066.666666666666,64.11333333333333,3.0,2714.285714285714,50.142857142857146,23.487142857142857,7.0,10.0
2817700000,인천광역시 미추홀구,365,274,2961,4125,3865,688,1815,1187,15280,8000.0,20.74,1.0,866.6666666666666,58.0,38.70444444444445,9.0,10.0
2818500000,인천광역시 연수구,344,220,2443,3458,3977,641,1539,1031,13653,17800.0,52.4125,8.0,1600.0,92.5,57.415,2.0,10.0
2820000000,인천광역시 남동구,523,319,3815,4924,5389,1303,2156,1311,19740,13275.0,50.4375,4.0,1133.3333333333333,56.833333333333336,28.33833333333333,6.0,10.0
2823700000,인천광역시 부평구,541,328,4012,5075,5213,1321,2205,1344,20039,15750.0,78.93,1.0,1332.5555555555557,61.55555555555556,47.99888888888889,9.0,10.0
2824500000,인천광역시 계양구,495,285,3225,4055,4888,900,1823,1083,16754,0.0,0.0,0.0,490.0,40.4,31.124,10.0,10.0
2826000000,인천광역시 서구,317,196,1997,2748,3546,98,1272,960,11134,20750.0,56.4275,4.0,1666.6666666666667,70.83333333333333,53.305,6.0,10.0
2871000000,인천광역시 강화군,47,8,87,410,78,6,140,40,816,0.0,0.0,0.0,1000.0,40.0,28.13,2.0,2.0
2872000000,인천광역시 옹진군,20,0,9,79,5,0,38,19,170,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2911000000,광주광역시 동구,27,85,2152,2914,440,771,887,669,7945,11400.0,32.658,5.0,440.0,43.0,29.224,5.0,10.0
2914000000,광주광역시 서구,347,92,2631,3519,4557,803,1102,842,13893,13166.666666666666,37.083333333333336,3.0,757.1428571428571,59.285714285714285,36.81142857142857,7.0,10.0
2915500000,광주광역시 남구,272,85,2133,2877,3384,780,871,101,10503,17250.0,66.475,2.0,437.5,31.75,25.645,8.0,10.0
2917000000,광주광역시 북구,323,85,2467,3331,4080,789,1035,797,12907,15566.666666666666,65.40666666666667,3.0,2742.8571428571427,48.0,60.60857142857143,7.0,10.0
2920000000,광주광역시 광산구,175,56,1141,1659,2148,70,642,577,6468,19300.0,41.03333333333333,3.0,828.5714285714286,58.71428571428572,50.01857142857143,7.0,10.0
3011000000,대전광역시 동구,58,82,1546,2170,392,396,781,472,5897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
