sigungu_code,region_name,school,subway,hospital,cafe,academy,department,convenience,park,total_score
2720000000,대구광역시 남구,368,351,3781,4529,6138,1339,1401,63,17970
2717000000,대구광역시 서구,411,341,3954,4805,6541,1325,1560,796,19733
2611000000,부산광역시 중구,319,342,2821,3379,2883,1091,1250,638,12723
2614000000,부산광역시 서구,294,325,2521,2996,2367,1086,1115,518,11222
2617000000,부산광역시 동구,21,454,3600,4409,131,1123,1541,774,12053
2620000000,부산광역시 영도구,141,143,1233,1592,1080,454,563,274,5480
2623000000,부산광역시 부산진구,466,589,4510,5252,5432,2102,1777,950,21078
2626000000,부산광역시 동래구,399,511,3872,4507,5420,1726,1435,768,18638
2629000000,부산광역시 남구,387,494,3937,4788,4710,1895,1581,120,17912
2632000000,부산광역시 북구,290,283,1873,1931,2445,662,792,628,8904
2635000000,부산광역시 해운대구,136,170,1168,1522,1846,857,509,287,6495
2638000000,부산광역시 사하구,256,247,1645,2187,1989,457,848,507,8136
2641000000,부산광역시 금정구,288,300,1955,2329,3375,292,757,436,9732
2644000000,부산광역시 강서구,277,186,1241,1713,2212,62,749,624,7064
2647000000,부산광역시 연제구,424,517,4099,4838,5452,1727,1617,814,19488
2650000000,부산광역시 수영구,347,454,3592,4307,4871,1641,1403,731,17346
2653000000,부산광역시 사상구,327,411,2558,3178,2703,1100,1165,739,12181
2671000000,부산광역시 기장군,82,36,281,645,579,25,230,212,2090
2711000000,대구광역시 중구,329,340,3482,4305,5319,1169,1323,629,16896
2714000000,대구광역시 동구,77,309,3122,4037,966,1147,1173,590,11421
2723000000,대구광역시 북구,378,343,3772,4584,5901,1152,1451,735,18316
2726000000,대구광역시 수성구,100,94,1066,1290,2839,107,360,114,5970
2729000000,대구광역시 달서구,303,284,2800,3457,4188,771,1098,626,13527
2771000000,대구광역시 달성군,76,33,300,607,819,31,251,129,2246
2811000000,인천광역시 중구,258,167,1847,3179,2704,653,1434,949,11191
2814000000,인천광역시 동구,21,225,2721,3797,78,678,1662,1116,10298
2817700000,인천광역시 미추홀구,365,274,2961,4125,3865,688,1815,1187,15280
2818500000,인천광역시 연수구,344,220,2443,3458,3977,641,1539,1031,13653
2820000000,인천광역시 남동구,523,319,3815,4924,5389,1303,2156,1311,19740
2823700000,인천광역시 부평구,541,328,4012,5075,5213,1321,2205,1344,20039
2824500000,인천광역시 계양구,495,285,3225,4055,4888,900,1823,1083,16754
