dong_code,region_name,school,subway,hospital,cafe,total_score
2717010900,대구광역시 서구 원대동3가,68,89,842,1189,3276
2717010700,대구광역시 서구 원대동1가,75,105,1119,1434,4137
2717010800,대구광역시 서구 원대동2가,75,87,1035,1345,3826
3020015200,대전광역시 유성구 둔곡동,4,76,2,25,265
2717010400,대구광역시 서구 상리동,44,7,126,212,573
2717010500,대구광역시 서구 중리동,81,55,563,661,2114
2717010600,대구광역시 서구 이현동,57,52,503,560,1836
2717010200,대구광역시 서구 비산동,40,18,260,326,980
2717010300,대구광역시 서구 평리동,70,104,846,1066,3210
2717010100,대구광역시 서구 내당동,94,118,1109,1174,3934
2714014300,대구광역시 동구 송정동,4,77,5,45,294
2714014400,대구광역시 동구 덕곡동,4,152,3,38,508
2714014500,대구광역시 동구 지묘동,10,313,25,47,1056
2611010100,부산광역시 중구 영주동,62,94,609,861,2485
2611010200,부산광역시 중구 대창동1가,64,94,619,872,2520
2611010300,부산광역시 중구 대창동2가,63,94,618,861,2505
2611010400,부산광역시 중구 중앙동1가,67,83,605,907,2500
2611010500,부산광역시 중구 중앙동2가,68,88,592,887,2471
2611010600,부산광역시 중구 중앙동3가,68,93,579,877,2450
2611010700,부산광역시 중구 중앙동4가,67,94,623,865,2527
2611010800,부산광역시 중구 중앙동5가,64,88,585,898,2460
2611010900,부산광역시 중구 중앙동6가,64,83,599,902,2477
2611011000,부산광역시 중구 중앙동7가,64,83,581,901,2440
2611011100,부산광역시 중구 동광동1가,68,83,604,902,2495
2611011200,부산광역시 중구 동광동2가,68,83,604,902,2495
2714014000,대구광역시 동구 내동,4,216,0,25,681
2714014100,대구광역시 동구 신용동,4,85,0,36,299
2714014200,대구광역시 동구 중대동,4,33,1,37,146
2611011300,부산광역시 중구 동광동3가,68,83,605,899,2494
2611011400,부산광역시 중구 동광동4가,68,89,588,878,2457
2611011500,부산광역시 중구 동광동5가,67,94,617,871,2521
2611011600,부산광역시 중구 대청동1가,69,98,586,862,2466
2611011700,부산광역시 중구 대청동2가,74,88,614,882,2522
2611011800,부산광역시 중구 대청동3가,78,88,612,880,2524
2611011900,부산광역시 중구 대청동4가,64,99,598,861,2482
2611012000,부산광역시 중구 보수동1가,66,93,593,866,2463
2611012100,부산광역시 중구 보수동2가,67,97,678,892,2673
2611012200,부산광역시 중구 보수동3가,72,97,686,912,2719
2611012300,부산광역시 중구 부평동1가,77,88,621,888,2548
2611012400,부산광역시 중구 부평동2가,76,93,668,916,2683
2611012500,부산광역시 중구 부평동3가,80,97,680,910,2721
2611012600,부산광역시 중구 부평동4가,73,97,688,919,2732
2611012700,부산광역시 중구 신창동1가,79,88,614,900,2550
2611012800,부산광역시 중구 신창동2가,79,88,615,899,2551
2611012900,부산광역시 중구 신창동3가,79,88,622,902,2568
2611013000,부산광역시 중구 신창동4가,79,88,618,901,2559
2611013100,부산광역시 중구 창선동1가,79,88,613,911,2559
2611013200,부산광역시 중구 창선동2가,79,88,618,910,2568
2611013300,부산광역시 중구 광복동1가,72,83,612,910,2527
2611013400,부산광역시 중구 광복동2가,77,87,612,911,2550
2611013500,부산광역시 중구 광복동3가,79,88,614,900,2550
2611013600,부산광역시 중구 남포동1가,71,83,605,910,2511
2611013700,부산광역시 중구 남포동2가,74,83,610,909,2526
2611013800,부산광역시 중구 남포동3가,79,88,621,915,2579
2611013900,부산광역시 중구 남포동4가,73,88,607,912,2536
2611014000,부산광역시 중구 남포동5가,75,88,619,921,2573
2611014100,부산광역시 중구 남포동6가,74,84,625,914,2564
2614010100,부산광역시 서구 동대신동1가,54,100,619,860,2506
2614010200,부산광역시 서구 동대신동2가,54,99,550,826,2331
2614010300,부산광역시 서구 동대신동3가,58,89,516,768,2183
2614010400,부산광역시 서구 서대신동1가,61,96,598,849,2455
